City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,nelson bay,-32.7167,152.15,17.78000000000003,90,100,3.13,AU,1712607349
244,sur,22.5667,59.5289,27.860000000000014,59,16,4.67,OM,1712607349
245,barabai,-2.5833,115.3833,24.090000000000032,95,100,0.61,ID,1712607350
246,portage la prairie,49.9728,-98.2926,9.939999999999998,50,99,2.87,CA,1712607203
247,xilin hot,43.9667,116.0333,2.830000000000041,42,100,2.3,CN,1712607350
248,mata-utu,-13.2816,-176.1745,29.560000000000002,76,100,3.83,WF,1712607167
249,stanley,54.868,-1.6985,10.770000000000039,87,20,0.0,GB,1712607350
250,howard springs,-12.497,131.047,24.950000000000045,94,100,2.4,AU,1712607350
251,sao tome,0.3365,6.7273,28.02000000000004,73,100,1.98,ST,1712607350
252,chui,-33.6971,-53.4616,22.27000000000004,83,58,4.06,UY,1712607260
253,nadur,36.0378,14.2942,16.52000000000004,81,9,4.45,MT,1712607146
254,jaciara,-15.9653,-54.9683,27.08000000000004,84,100,1.64,BR,1712607351
255,margaret river,-33.95,115.0667,12.150000000000034,76,0,5.46,AU,1712607310
256,chimoio,-19.1164,33.4833,19.420000000000016,99,97,0.97,MZ,1712607351
257,korla,41.7597,86.1469,12.770000000000039,42,0,0.54,CN,1712607060
258,tibanbang,6.6315,126.1055,26.090000000000032,81,100,2.04,PH,1712607351
259,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,100,2.29,PT,1712607156
260,udachny,66.4167,112.4,-12.529999999999973,81,100,4.4,RU,1712607352
261,dwarka,22.2394,68.9678,25.74000000000001,75,0,7.13,IN,1712607352
262,taroa,8.7058,171.2275,27.140000000000043,84,100,11.1,MH,1712607352
263,uturoa,-16.7333,-151.4333,29.189999999999998,77,86,6.18,PF,1712607148
264,siwa oasis,29.2041,25.5195,20.0,46,1,7.09,EG,1712607352
265,kili,5.6439,169.1211,27.700000000000045,84,100,9.67,MH,1712607352
